"","Date","LocalName","Name","CountryCode","Fixed","Global","LaunchYear","Type","Counties"
"250",2022-07-28,"Día de las Instituciones de Cantabria","Day of the Cantabrian Institutions","ES",TRUE,FALSE,NA,"Public","ES-CB"
"251",2022-08-15,"Asunción","Assumption","ES",FALSE,TRUE,NA,"Public","All"
"252",2022-09-08,"Día de Asturias","Day of Asturias","ES",TRUE,FALSE,NA,"Public","ES-AS"
"253",2022-09-08,"Día de Extremadura","Day of Extremadura","ES",TRUE,FALSE,NA,"Public","ES-EX"
"254",2022-09-11,"Diada Nacional de Catalunya","National Day of Catalonia","ES",TRUE,FALSE,NA,"Public","ES-CT"
"255",2022-09-15,"La Bien Aparecida","Regional Holiday","ES",TRUE,FALSE,NA,"Public","ES-CB"
"256",2022-10-09,"Dia de la Comunitat Valenciana","Day of the Valencian Community","ES",TRUE,FALSE,NA,"Public","ES-VC"
"257",2022-10-12,"Fiesta Nacional de España","Fiesta Nacional de España","ES",TRUE,TRUE,NA,"Public","All"
"258",2022-11-01,"Día de todos los Santos","All Saints Day","ES",TRUE,TRUE,NA,"Public","All"
"259",2022-12-06,"Día de la Constitución","Constitution Day","ES",TRUE,TRUE,NA,"Public","All"
"260",2022-12-08,"Inmaculada Concepción","Immaculate Conception","ES",TRUE,TRUE,NA,"Public","All"
"261",2022-12-26,"Navidad","Christmas Day","ES",FALSE,FALSE,NA,"Public","ES-AN,ES-AR,ES-AS,ES-CN,ES-CB,ES-CL,ES-CM,ES-EX,ES-GA,ES-IB,ES-RI,ES-MD,ES-MC,ES-NC"
"262",2022-12-26,"Sant Esteve","St. Stephen's Day","ES",TRUE,FALSE,NA,"Public","ES-CT"
"263",2023-01-01,"Año Nuevo","New Year's Day","ES",TRUE,TRUE,1967,"Public","All"
"264",2023-01-02,"Año Nuevo","New Year's Day","ES",TRUE,FALSE,NA,"Public","ES-AN,ES-AR,ES-AS,ES-CL,ES-MC"
"265",2023-01-06,"Día de Reyes / Epifanía del Señor","Epiphany","ES",TRUE,TRUE,NA,"Public","All"
"266",2023-02-21,"Martes de Carnaval","Carnival Tuesday","ES",TRUE,FALSE,NA,"Public","ES-EX"
"267",2023-02-28,"Día de Andalucía","Day of Andalucía","ES",TRUE,FALSE,NA,"Public","ES-AN"
